text,label
"What meaning life? nan tell people this: know go heaven get saved way get saved believe Jesus died cross sins, rose third day, confess God prayer sinner believe He died cross sin ask His forgiveness sin THAT simple, salvation free gift, can't earn it. baptist belief let rephrase that, KNOW stuff said true. My name Matthew James Needham shy contact this. email address im_proud2b_a_christian.c.",1
"This question ONLY MuslimsPlease Read, need help? Well, first off, 23 yr old caucasian American girl born Christianity. My whole entire life never felt connection Christianity never able accept Jesus God. For past year researching Islam, reading Qur'an familiarizing Muslim religion. feel Islam religion me, 100%. I, heart, want convert Islam. However, afraid accepted Allah herendous sin commited considerably short life. Sins including drug use, promiscuous, child wedlock, stealing lying. regret sin much make physically mentally ill. wish much could forgiven sin live pure life. So guess question is, Muslim considering horrible sin committed? Would Muslim man allowed marry me? worthy Islam? Please help going blunt you. Like not, post made hair arm stand ends!\nThis Hypocrisy best. You born Christian family, lived whole life one, yet lived life pleased without consideration might do, might happen you, convert Islam, implying free life caused Christian done. Don't blame Christianity past life, looking way out!\n\nIf truely regret sinns, confuse sin God never again. Not leave God, abandon God, pretend looking right path! seem never right path. And worried Muslim man marry you! better believe it, many happy marry convert faith. After all, forsaken religion theirs.\n\nCan Muslim? Yes can. forget Muslims also sin, far sinning Angels, think.\nA Muslim man allowed marry you. Don't put much. You sinned, what, everyone sinned one time another, sinn other, sin, inculding Muslims, think worth you. You sound begging Muslim man marry you. Look Good man, muslim man. \n\nNow going get this. Islam worthy you. Help God help help themselves. If ever christian blessing you. If think Islam 100% you, learn little may go into. \n\nIN name Father Son Holy SPirit may peace heart, soul spirit. \nDon't forsaken Lord put life line you, never forget teaching. Amen.\n\nADDnI regret posting message you, believe say, hear words. wish well. Muslims claim say believe Jesus Christ, time, give proper respect. know muslim well. If really christian! Islam you, believe me. But you. Think hard, long wise. Finding man marry you, hard do. say respect.\n\nI like ask question, may!\n\nThey tell converting Islam past sin forgiven?! Don't believe it. question. How Muslims get past sin forgiven convert Christianity? \nIn time judgment day, Jesus Christ one judging you. Christians Muslims believe return judgment day, Muhammad, But Jesus Christ. Ever wonder Jesus Muhammad! think it, know why. Don't forget that. \n\nTHINK HARD, LONG WISE. Good luck you.\n\nWATCH THESE, AND IF YOU STILL THINK ISLAM IS GOOD FOR WOMEN, THEN GOOD LUCK TO YOU. AND MAY THE LORD BE WITH YOU AND PROTECT YOU.\n\nYou study five yrs! Beating woman wife! \n Beating Islam The Rules\n\n Wife Beating instructed Quran\n\n Beating Islam Only rod help!\n\nIf want convert marry muslim man, find modern man, wo look Quran decided beat you, book tell fine, man, job teach behave!\nP.S. truely wish post message, started, must finish start, least post. Good Luck you.\n\nMay Lord Keep.",1
"What good gift give boyfriend? nan Cook favorite home made dinner. Make special desert, bring champagne.",1
jack ripper still alieve nan No.,1
"Jesus Way, The Truth Life. None go The Heavenly father except HIM. Who trust HIM? nan Mr.",1
"What kind music popular time Jesus lived? nan Almost Psalms songs. Psalms 150 speaks using several instrument worship lyre, tambourine, trumpet, harp, strings, flute, cymbals. The Jews used lot reptition music. God praised musical instruments, singing, dancing. If instuments around Psalms written, surely around Jesus came.",1
"EVERYDAY IN AMERICA Every Hour someone commits Hate crimeEvery day? least eight blacks, three whites, three gays, three Jews one Latino become hate crime victims.\nDOES IT MEAN THAT BLACKS ARE THE MOST HATED IN AMERICA AND WHAT CAN BE DONE TO CHANGE DIRECTION\n\nAccording research carried blacks? mean african american? race say white italian, russian, irish? think researcher stopped classification race colour would good start.",1
"Where find Holiday avatars? nan Go avatar page, click extra top tabs, choose holiday event sub tab pick holiday fun!.",1
"Devout Catholics Please Respond? The chatechism catholic church teach Masturbation disordered. Agree Disagree?\nAre u guy going hell? Catholics believe people go hell freely choose completely turn away God live die mortal sin. Believe not, Catholics sin. But ask God forgiveness try sin again. \n\nI think venial sin quite bad murder terrorism.\n\nWith love Christ.",1
"Why people afraid homosexuality? nan believe largely due ignorance. They think ""catch gay"" hang gay people, suddenly ""turn gay."" It also religious fanatic teachings. Last, least, people afraid understand.",1
