text,label
"Explosion Rocks Baghdad Neighborhood BAGHDAD, Iraq, August 24 car bomb exploded near gate US funded Iraqi television network Baghdad Tuesday, killing least two people wounding two others, authority witness said.",1
BBC reporters' log BBC correspondent record event Middle East thought funeral Palestinian leader Yasser Arafat take place.,1
"Israel welcome Rice nomination; Palestinians wary Israel Tuesday warmly welcomed naming Condoleezza Rice America ;s top diplomat, Palestinians wary, saying new Bush administration must put energy quest Middle East peace.",1
Medical Journal Calls New Drug Watchdog Medical researcher said U.S. need system independent F.D.A. detect harmful effect drug already market.,1
"Militants Kidnap Relatives Iraqi Minister TV Militants kidnapped two relative Iraqi Defense Minister Hazim al Shalaan demanded US force leave holy city Najaf, Al Jazeera television reported Wednesday.",1
"US support democracy WASHINGTON, Sept 18: The United States said would reiterate support ;fully functioning democracy Pakistan issue President Pervez Musharraf keeping giving.",1
"Command Failure Seen Fault Beslan Massacre MOSCOW Reuters Security force bungled handling Russia's worst hostage drama nobody charge special force ready shooting started, security analyst said Monday.",1
"U.S. group accuse China failing stop intellectual property abuse Canadian Press Canadian Press BEIJING AP Adding pressure China stop rampant product piracy, two major U.S. business group complained Thursday abuse getting worse warned lack patent copyright protection hurting high tech investment.",1
"Kidnappers Release Seven Hostages Iraq BAGHDAD, Iraq Kidnappers released two female Italian aid worker five hostage Tuesday, raising hope least 18 foreigner still captivity. But insurgent showed sign easing blood soaked campaign U.S.",1
"Colombian Military Kills Militia Leader former U.S. trained Colombian army officer later joined outlawed paramilitary group killed clash army troop Tuesday, army said.",1
"Kite festival begin prelude 350th anniversary Taj Agra, Sep 27. PTI:A kite festival today began bank Yamuna river behind Taj Mahal prelude 350th anniversary celebration world famous monument opening evening.",1
Falluja troop heavy fire US marine Falluja come sustained attack several different direction headquarters set Iraqi city.,1
Chechen capital empty ahead election replace slain leader AFP AFP Chechnya's capital Grozny emptied resident fearing rebel raid fled day election replace slain pro Moscow leader.,1
"Does Tsvangirai outcome suit Mugabe? On hearing verdict broad smile Morgan Tsvangirai, applause supporter tear relief veteran attorney.",1
"U.S. Raps Cuba Its Presence Abroad AP AP The State Department accusing Cuba training Colombian rebel say troubled large presence Cuban personnel Venezuela, whose president, Hugo Chavez, close ally Cuban President Fidel Castro.",1
